ar,sveitarfelag,hluti,tekjur,gjold,afskriftir,rekstrarnidurstada,breyting_lifeyrisskuldbindinga,fjarmagnslidir,eignir,veltufjarmunir,skammtimakrofur_eigin_fyrirtaeki,eigid_fe,handbaert_fe,skammtimaskuldir,heildarskuldir,veltufe,skatttekjur_an_jofnundarsjóðs,framlag_jofnunarsjods,launagjold
2021,Reykjavíkurborg,A-hluti,142266419,146116018,6528867,-3849599,-211906,1354457,236480058,36501660,340375,91894777,15276111,25110092,144585281,368691,110501161,8761951,85880728
2021,Reykjavíkurborg,A og B-hluti,202598663,179196268,21052234,23402394,-202906,12899248,790566300,83847325,25611,383263977,30423739,57891584,407302323,26104032,109819197,8761951,99466329
2021,Garðabær,A-hluti,19134280,19194209,999523,-59930,932109,875488,38518069,3775414,1235850,16638638,116830,25110092,21879430,2468632,14840162,1225646,9042168
2021,Garðabær,A og B-hluti,20223209,19815164,1145857,408046,932109,930335,42814519,2435879,0,20282537,116830,4167677,22531983,2939060,14806624,1225646,9169411
2021,Hafnarfjarðarkaupstaður,A-hluti,31226347,32705920,853169,-1479573,2295385,1497709,55056370,5238734,0,8750167,488473,8526054,46306203,-14232,22818175,2854287,16650072
2021,Hafnarfjarðarkaupstaður,A og B-hluti,33592931,34301443,1198229,-708511,2328709,1892891,72151091,6098831,0,22031905,761054,6777584,50119186,766709,22817000,2854287,16992078
2021,Kópavogsbær,A-hluti,37632658,35123789,1423093,-467849,566275,1553624,62688209,5561613,67679,19833672,177992,9487549,42854537,1049952,30396969,1843772,21685261
2021,Kópavogsbær,A og B-hluti,39621974,35852917,1649866,95906,566275,2023285,81817356,5600498,0,32972516,191682,9860581,48779096,2179478,30306801,1843772,21810418
2021,Mosfellsbær,A-hluti,13543767,14162043,439988,-618276,527056,849569,23362212,2430037,189689,5238077,91149,3160837,18124135,937615,9450000,2157243,6906914
2021,Mosfellsbær,A og B-hluti,14435749,14997252,521831,-561503,527056,961292,26050124,2319970,0,6624532,91526,3085467,19425592,1131407,9433616,2157243,6952442
2021,Akureyrarkaupstaður,A-hluti,22325687,22007482,999184,318205,245759,1001276,39057072,6561824,1136156,14139216,2654001,4172140,24917856,2105781,14269443,3885065,13422747
2021,Akureyrarkaupstaður,A og B-hluti,28436511,27684077,2062643,752435,279350,1681560,62774861,6620563,0,26637419,3215434,4935143,36137442,3906120,14204582,3885065,15702071
2021,Fjarðabyggð,A-hluti,6653561,7090905,291054,-437345,520293,306230,10787743,941644,162847,788098,189922,3228880,9999644,394127,4708529,110606,4224015
2021,Fjarðabyggð,A og B-hluti,8746489,8523796,623467,222693,547562,377885,16672879,1041975,0,6502152,193178,1776511,10170727,1313761,4692596,1142499,4790756
2021,Akraneskaupstaður,A-hluti,8216599,7926766,-237414,507252,531835,-192636,15095550,2695741,2844,9086000,1276615,1445415,6009550,1395138,5598243,1547031,4949089
2021,Akraneskaupstaður,A og B-hluti,9424453,9014317,-263604,578389,535694,-162403,15549918,3017594,0,9032909,1570788,1682507,6517008,1518985,5584727,1547031,5917381
2021,Múlaþing,A-hluti,6776671,6460546,236511,-286707,287426,366303,8823250,1289711,323573,1119191,203543,1924257,7704059,437971,3799376,2078598,4073386
2021,Múlaþing,A og B-hluti,7860098,6853835,421372,92089,287426,465632,13453570,1308002,0,2668119,430577,2033935,10785451,1070414,3756923,2078598,4255180
2021,Seltjarnarnesbær,A-hluti,4704256,5060364,159943,-566409,438464,50358,9497985,632155,43457,3402758,4030,1079532,6095227,204964,3615146,351459,2823093
2021,Seltjarnarnesbær,A og B-hluti,5029999,5204265,198306,-528155,454714,151053,10257747,599050,0,3739706,22140,906480,6518040,352579,3611801,351459,2847807
2021,Reykjanesbær,A-hluti,18327803,18272423,667413,2170393,1055380,743858,40507592,5159577,56712,12633330,3181542,6407059,27874262,872012,13114479,2957991,10041148
2021,Reykjanesbær,A og B-hluti,26887922,23244770,18282558,-9255987,1062220,2653848,73643695,7783600,0,28364045,4242646,6369514,45279650,2969723,13067151,2957991,115547780
